FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
21/1/2021, 11:7:28, 43.220570, -2.017532, 6, 148, 421, 18.04, 999.23, 49.37, 400, 0, 42.80, 18.70, 16546, 29, 
21/1/2021, 11:7:47, 43.220551, -2.017536, 8, 134, 425, 17.49, 999.43, 47.70, 400, 0, 44.50, 18.70, 19164, 36, 
21/1/2021, 11:8:6, 43.220551, -2.017552, 7, 137, 442, 16.79, 999.26, 49.10, 400, 0, 44.50, 18.00, 19124, 40, 
21/1/2021, 11:8:25, 43.220543, -2.017553, 7, 137, 454, 16.86, 999.03, 51.10, 565, 25, 45.40, 17.40, 19151, 40, 
21/1/2021, 11:8:44, 43.220543, -2.017575, 8, 138, 464, 16.84, 999.14, 50.11, 498, 14, 46.80, 17.20, 19515, 35, 
21/1/2021, 11:9:3, 43.220551, -2.017581, 8, 138, 475, 16.61, 999.20, 49.65, 531, 19, 47.50, 16.80, 19614, 37, 
21/1/2021, 11:9:22, 43.220558, -2.017579, 8, 138, 489, 16.60, 999.13, 50.26, 519, 18, 48.20, 16.70, 20069, 36, 
21/1/2021, 11:9:41, 43.220566, -2.017570, 6, 214, 506, 16.64, 999.05, 50.88, 531, 19, 48.60, 16.60, 20580, 38, 
21/1/2021, 11:10:0, 43.220551, -2.017575, 6, 215, 520, 16.77, 999.10, 50.45, 514, 17, 48.90, 16.70, 20756, 35, 
21/1/2021, 11:10:19, 43.220547, -2.017564, 7, 215, 528, 16.96, 999.08, 50.66, 514, 17, 49.20, 16.70, 21011, 35, 
21/1/2021, 11:10:38, 43.220554, -2.017546, 7, 216, 540, 17.03, 999.05, 50.88, 500, 15, 49.30, 16.70, 20938, 35, 
21/1/2021, 11:10:57, 43.220558, -2.017563, 7, 216, 549, 16.85, 999.08, 50.68, 514, 17, 49.10, 16.70, 20722, 37, 
