FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
26/1/2021, 10:31:54, 43.220570, -2.017575, 9, 90, 885, 7.99, 1015.75, -89.07, 400, 0, 55.60, 13.70, 29016, 0
26/1/2021, 10:32:13, 43.220570, -2.017587, 9, 90, 894, 7.91, 1015.83, -89.65, 400, 0, 56.50, 13.30, 31708, 0
26/1/2021, 10:32:32, 43.220570, -2.017590, 9, 90, 903, 7.82, 1015.85, -89.86, 408, 1, 58.00, 12.90, 29737, 0
26/1/2021, 10:32:51, 43.220570, -2.017596, 8, 120, 914, 7.73, 1015.81, -89.53, 400, 0, 58.40, 12.30, 28364, 0
26/1/2021, 10:33:10, 43.220566, -2.017597, 9, 121, 924, 7.67, 1015.77, -89.14, 416, 2, 59.40, 11.90, 27691, 0
26/1/2021, 10:33:29, 43.220551, -2.017603, 9, 90, 932, 7.61, 1015.83, -89.68, 418, 2, 62.00, 11.90, 23618, 0
26/1/2021, 10:33:48, 43.220551, -2.017611, 9, 90, 48, 7.59, 1015.82, -89.61, 410, 1, 61.60, 11.20, 21191, 0
26/1/2021, 10:34:8, 43.220547, -2.017614, 9, 90, 57, 7.55, 1015.82, -89.61, 410, 1, 62.70, 11.30, 21266, 0
26/1/2021, 10:34:27, 43.220570, -2.017603, 9, 90, 67, 7.51, 1015.83, -89.67, 418, 2, 63.70, 11.00, 24160, 0
26/1/2021, 10:34:46, 43.220577, -2.017594, 9, 90, 79, 7.51, 1015.85, -89.81, 407, 1, 65.10, 10.90, 26061, 0
26/1/2021, 10:35:5, 43.220570, -2.017601, 9, 90, 92, 7.39, 1015.81, -89.54, 400, 0, 63.90, 11.10, 24831, 0
26/1/2021, 10:35:24, 43.220566, -2.017598, 8, 122, 96, 7.38, 1015.90, -90.27, 418, 2, 66.20, 10.40, 22816, 0
26/1/2021, 10:35:43, 43.220558, -2.017593, 9, 90, 104, 7.41, 1015.90, -90.30, 418, 2, 66.00, 10.50, 24295, 0
26/1/2021, 10:36:2, 43.220558, -2.017594, 9, 90, 120, 7.43, 1015.83, -89.68, 418, 2, 66.50, 10.70, 26147, 0
26/1/2021, 10:36:21, 43.220554, -2.017596, 8, 123, 130, 7.36, 1015.89, -90.13, 410, 1, 67.00, 10.90, 27755, 0
26/1/2021, 10:36:40, 43.220558, -2.017597, 8, 123, 139, 7.38, 1015.89, -90.15, 425, 3, 65.20, 10.40, 28483, 0
26/1/2021, 10:36:59, 43.220566, -2.017595, 8, 124, 149, 7.32, 1015.86, -89.94, 402, 0, 66.40, 11.40, 26325, 0
26/1/2021, 10:37:18, 43.220547, -2.017619, 8, 124, 54, 7.31, 1015.85, -89.88, 407, 1, 65.00, 10.80, 22344, 0
26/1/2021, 10:37:37, 43.220547, -2.017627, 8, 124, 61, 7.21, 1015.96, -90.77, 410, 1, 66.60, 10.30, 23120, 0
26/1/2021, 10:37:56, 43.220577, -2.017603, 8, 125, 72, 7.22, 1015.94, -90.61, 410, 1, 66.30, 10.00, 25169, 0
26/1/2021, 10:38:15, 43.220589, -2.017593, 8, 125, 81, 7.32, 1015.89, -90.16, 410, 1, 67.80, 10.50, 24459, 0
26/1/2021, 10:38:34, 43.220581, -2.017589, 9, 89, 91, 7.28, 1015.90, -90.29, 407, 1, 67.50, 10.60, 25505, 0
26/1/2021, 10:38:53, 43.220573, -2.017574, 9, 89, 95, 7.20, 1015.90, -90.29, 408, 1, 66.70, 10.20, 27673, 0
26/1/2021, 10:39:12, 43.220570, -2.017584, 9, 114, 112, 7.31, 1015.91, -90.30, 423, 3, 67.70, 9.90, 26972, 0
26/1/2021, 10:39:31, 43.220558, -2.017596, 9, 89, 120, 7.32, 1015.89, -90.16, 400, 0, 68.60, 10.30, 26275, 0
26/1/2021, 10:39:50, 43.220554, -2.017604, 9, 89, 128, 7.27, 1015.96, -90.72, 422, 3, 67.60, 10.00, 22360, 0
26/1/2021, 10:40:9, 43.220558, -2.017604, 9, 89, 134, 7.25, 1015.90, -90.28, 414, 2, 68.20, 9.60, 21589, 0
26/1/2021, 10:40:28, 43.220558, -2.017606, 9, 89, 148, 7.32, 1015.94, -90.60, 418, 2, 67.80, 9.80, 23397, 0
26/1/2021, 10:40:47, 43.220558, -2.017610, 9, 89, 157, 7.26, 1015.91, -90.33, 432, 4, 70.40, 10.40, 20620, 0
26/1/2021, 10:41:6, 43.220558, -2.017608, 9, 89, 165, 7.38, 1015.91, -90.32, 447, 7, 68.80, 10.70, 21627, 0
26/1/2021, 10:41:25, 43.220570, -2.017599, 9, 89, 175, 7.41, 1015.82, -89.62, 447, 7, 67.30, 11.10, 21626, 0
26/1/2021, 10:41:44, 43.220573, -2.017591, 9, 89, 184, 7.38, 1015.85, -89.85, 426, 3, 66.00, 11.30, 20917, 0
26/1/2021, 10:42:3, 43.220570, -2.017590, 9, 89, 198, 7.31, 1015.93, -90.52, 434, 5, 64.60, 10.90, 20086, 0
26/1/2021, 10:42:22, 43.220581, -2.017581, 8, 129, 209, 7.35, 1015.88, -90.12, 439, 5, 65.80, 10.60, 21159, 0
26/1/2021, 10:42:41, 43.220570, -2.017592, 8, 129, 219, 7.29, 1015.90, -90.28, 422, 3, 65.40, 10.70, 24374, 0
26/1/2021, 10:43:0, 43.220566, -2.017591, 8, 163, 231, 7.32, 1015.83, -89.65, 426, 3, 66.20, 10.30, 24935, 0
26/1/2021, 10:43:19, 43.220570, -2.017592, 8, 163, 243, 7.28, 1015.88, -90.08, 422, 3, 67.10, 10.30, 23654, 0
26/1/2021, 10:43:38, 43.220566, -2.017597, 8, 163, 250, 7.28, 1015.84, -89.78, 414, 2, 67.30, 10.20, 28178, 0
26/1/2021, 10:43:57, 43.220551, -2.017610, 8, 131, 259, 7.36, 1015.81, -89.62, 418, 2, 68.80, 10.10, -30960, 0
26/1/2021, 10:44:16, 43.220551, -2.017614, 8, 131, 270, 7.35, 1015.81, -89.55, 400, 0, 68.70, 10.40, -30868, 0
26/1/2021, 10:44:35, 43.220558, -2.017613, 8, 131, 261, 7.36, 1015.85, -89.81, 414, 2, 67.60, 10.10, -30491, 0
26/1/2021, 10:44:54, 43.220554, -2.017616, 8, 132, 286, 7.42, 1015.86, -89.88, 409, 1, 67.80, 10.20, 32498, 0
26/1/2021, 10:45:13, 43.220551, -2.017611, 8, 132, 299, 7.46, 1015.87, -90.03, 420, 3, 67.20, 10.40, -31026, 0
26/1/2021, 10:45:32, 43.220554, -2.017608, 8, 163, 308, 7.48, 1015.86, -89.89, 417, 2, 66.40, 10.90, 32507, 0
26/1/2021, 10:45:51, 43.220573, -2.017603, 8, 133, 311, 7.55, 1015.88, -90.11, 420, 3, 66.10, 10.70, 31100, 0
26/1/2021, 10:46:10, 43.220570, -2.017602, 8, 133, 327, 7.60, 1015.90, -90.23, 434, 5, 66.10, 10.90, -31761, 0
26/1/2021, 10:46:29, 43.220566, -2.017607, 7, 163, 341, 7.74, 1015.81, -89.51, 427, 4, 64.90, 11.70, -29738, 0
26/1/2021, 10:46:48, 43.220554, -2.017605, 8, 134, 347, 7.80, 1015.85, -89.81, 417, 2, 61.80, 11.90, -31784, 0
26/1/2021, 10:47:7, 43.220566, -2.017605, 8, 134, 357, 7.83, 1015.86, -89.94, 424, 3, 61.60, 11.50, -31495, 0
26/1/2021, 10:47:26, 43.220554, -2.017607, 8, 135, 367, 7.93, 1015.87, -90.05, 441, 6, 62.20, 11.60, 30839, 0
26/1/2021, 10:47:45, 43.220551, -2.017604, 7, 163, 379, 7.98, 1015.86, -89.88, 438, 5, 61.50, 12.10, 29670, 0
26/1/2021, 10:48:4, 43.220547, -2.017611, 8, 135, 387, 8.00, 1015.82, -89.57, 441, 6, 60.10, 12.10, 30297, 0
26/1/2021, 10:48:23, 43.220539, -2.017614, 8, 136, 396, 8.03, 1015.78, -89.27, 454, 8, 59.70, 12.30, 31034, 0
26/1/2021, 10:48:42, 43.220551, -2.017611, 8, 136, 408, 8.03, 1015.82, -89.60, 460, 9, 60.60, 12.30, 31919, 0
26/1/2021, 10:49:1, 43.220551, -2.017606, 8, 137, 418, 8.17, 1015.83, -89.71, 486, 13, 60.40, 12.40, 30621, 0
26/1/2021, 10:49:20, 43.220554, -2.017601, 7, 163, 433, 8.20, 1015.83, -89.69, 470, 10, 60.60, 12.40, 29049, 0
26/1/2021, 10:49:39, 43.220558, -2.017591, 8, 137, 432, 8.21, 1015.81, -89.55, 454, 8, 59.70, 11.80, 29270, 0
26/1/2021, 10:49:58, 43.220566, -2.017596, 8, 138, 447, 8.26, 1015.85, -89.62, 457, 8, 59.70, 12.10, 27888, 0
26/1/2021, 10:50:17, 43.220558, -2.017604, 8, 163, 458, 8.16, 1015.83, -89.69, 448, 7, 62.50, 11.70, 31124, 0
26/1/2021, 10:50:36, 43.220573, -2.017592, 8, 138, 468, 8.30, 1015.80, -89.40, 445, 6, 61.10, 11.70, -32651, 0
26/1/2021, 10:50:55, 43.220570, -2.017591, 8, 139, 478, 8.19, 1015.86, -89.88, 448, 7, 61.50, 11.80, 32596, 0
26/1/2021, 10:51:14, 43.220558, -2.017598, 8, 139, 491, 8.03, 1015.83, -89.90, 438, 5, 61.00, 12.10, -32347, 0
26/1/2021, 10:51:33, 43.220543, -2.017602, 7, 143, 503, 8.14, 1015.78, -89.26, 438, 5, 59.90, 13.00, -30859, 0
26/1/2021, 10:51:52, 43.220558, -2.017601, 8, 140, 513, 8.14, 1015.84, -89.78, 434, 5, 59.40, 12.80, -29095, 0
26/1/2021, 10:52:11, 43.220570, -2.017591, 8, 140, 521, 8.21, 1015.78, -89.22, 438, 5, 60.40, 12.30, -30732, 0
