FECHA, HORA, LATITUD, LONGITUD, SATELITES, PRECISION, AGE, TEMPERATURA_BMP, PRESION_BMP, ALTITUD_BMP, CO2, TVOC, HUMEDAD_DHT, TEMPERATURA_DHT, LUZ_TSL, LUZ_UV
27/1/2021, 9:0:35, ---, ---, ---, ---, ---, 20.65, 1016.41, -94.50, 400, 0, 54.00, 20.50, 257, 0
27/1/2021, 9:0:54, ---, ---, ---, ---, ---, 20.68, 1016.38, -94.24, 416, 2, 55.70, 20.50, 266, 0
27/1/2021, 9:1:13, ---, ---, ---, ---, ---, 20.68, 1016.41, -94.51, 405, 0, 55.50, 20.60, 266, 0
27/1/2021, 9:1:32, ---, ---, ---, ---, ---, 20.66, 1016.37, -94.14, 497, 14, 55.40, 20.50, 266, 0
27/1/2021, 9:1:51, ---, ---, ---, ---, ---, 20.65, 1016.37, -94.17, 473, 11, 55.10, 20.50, 266, 0
27/1/2021, 9:2:10, ---, ---, ---, ---, ---, 20.64, 1016.43, -94.66, 529, 19, 55.30, 20.50, 176, 0
27/1/2021, 9:2:29, ---, ---, ---, ---, ---, 20.63, 1016.39, -94.34, 497, 14, 55.60, 20.50, 176, 0
27/1/2021, 9:2:48, 43.221123, -2.019137, 4, 252, 94, 20.59, 1016.43, -94.65, 529, 19, 55.70, 20.40, 192, 0
27/1/2021, 9:3:7, 43.221107, -2.019055, 5, 187, 108, 20.59, 1016.40, -94.40, 578, 27, 55.50, 20.50, 183, 0
27/1/2021, 9:3:26, 43.221111, -2.018999, 5, 167, 124, 20.63, 1016.43, -94.65, 502, 15, 56.20, 20.50, 200, 0
27/1/2021, 9:3:45, 43.221088, -2.019049, 6, 167, 132, 20.63, 1016.42, -94.58, 424, 3, 55.90, 20.50, 207, 0
27/1/2021, 9:4:4, 43.220943, -2.019113, 6, 160, 143, 20.60, 1016.41, -94.52, 486, 13, 55.20, 20.40, 224, 0
27/1/2021, 9:4:23, 43.220863, -2.019136, 6, 619, 157, 20.59, 1016.44, -94.73, 497, 14, 55.20, 20.40, 240, 0
27/1/2021, 9:4:42, 43.220879, -2.018721, 6, 160, 174, 20.65, 1016.51, -95.31, 502, 15, 55.70, 20.50, 240, 0
27/1/2021, 9:5:1, 43.220871, -2.018649, 5, 638, 191, 20.69, 1016.53, -95.48, 476, 11, 55.50, 20.40, 240, 0
27/1/2021, 9:5:20, 43.220921, -2.018797, 6, 161, 194, 20.68, 1016.47, -95.02, 486, 13, 55.40, 20.40, 240, 0
27/1/2021, 9:5:39, 43.220921, -2.018806, 5, 223, 215, 20.71, 1016.48, -95.04, 492, 14, 55.50, 20.40, 240, 0
27/1/2021, 9:5:58, 43.220871, -2.018774, 6, 222, 224, 20.71, 1016.50, -95.22, 481, 12, 55.30, 20.50, 240, 0
27/1/2021, 9:6:17, 43.220913, -2.018887, 6, 167, 239, 20.70, 1016.48, -95.05, 473, 11, 55.00, 20.40, 240, 0
27/1/2021, 9:6:36, 43.220886, -2.018790, 6, 221, 252, 20.66, 1016.47, -95.01, 463, 9, 55.10, 20.40, 240, 0
27/1/2021, 9:6:55, 43.220833, -2.018648, 4, 207, 269, 20.64, 1016.49, -95.13, 463, 9, 55.20, 20.40, 240, 0
27/1/2021, 9:7:14, 43.220848, -2.018520, 6, 196, 280, 20.62, 1016.46, -94.94, 459, 8, 55.20, 20.40, 224, 0
27/1/2021, 9:7:33, 43.220844, -2.018473, 6, 161, 290, 20.61, 1016.53, -95.19, 473, 11, 55.00, 20.40, 224, 0
27/1/2021, 9:7:53, 43.220818, -2.018534, 6, 198, 304, 20.61, 1016.49, -95.16, 473, 11, 54.90, 20.40, 240, 0
27/1/2021, 9:8:12, 43.220779, -2.018550, 6, 161, 319, 20.59, 1016.55, -95.62, 473, 11, 55.00, 20.40, 257, 0
27/1/2021, 9:8:31, 43.220787, -2.018667, 5, 220, 333, 20.57, 1016.55, -95.64, 473, 11, 55.10, 20.40, 247, 0
27/1/2021, 9:8:50, 43.220787, -2.018663, 6, 161, 342, 20.56, 1016.57, -95.86, 463, 9, 55.10, 20.40, 247, 0
27/1/2021, 9:9:9, 43.220814, -2.018818, 6, 161, 355, 20.56, 1016.58, -95.92, 463, 9, 55.00, 20.50, 264, 0
27/1/2021, 9:9:28, 43.220798, -2.018912, 4, 802, 376, 20.56, 1016.60, -96.08, 463, 9, 55.10, 20.40, 264, 0
27/1/2021, 9:9:47, 43.220718, -2.018896, 6, 161, 381, 20.56, 1016.56, -95.75, 463, 9, 55.10, 20.50, 264, 0
27/1/2021, 9:10:6, 43.220634, -2.018940, 4, 248, 404, 20.56, 1016.54, -95.60, 463, 9, 55.10, 20.40, 280, 0
27/1/2021, 9:10:25, 43.220676, -2.018850, 4, 219, 414, 20.54, 1016.51, -95.34, 463, 9, 54.90, 20.40, 271, 0
27/1/2021, 9:10:44, 43.220802, -2.018922, 6, 168, 426, 20.53, 1016.49, -95.20, 463, 9, 55.00, 20.40, 271, 0
27/1/2021, 9:11:3, 43.220840, -2.018995, 5, 222, 441, 20.52, 1016.49, -95.13, 473, 11, 54.90, 20.50, 271, 0
27/1/2021, 9:11:22, 43.220783, -2.018805, 5, 207, 455, 20.51, 1016.49, -95.15, 463, 9, 55.00, 20.40, 280, 0
27/1/2021, 9:11:41, 43.220707, -2.018627, 5, 248, 468, 20.50, 1016.54, -95.61, 476, 11, 55.10, 20.50, 264, 0
27/1/2021, 9:12:0, 43.220760, -2.018628, 6, 161, 479, 20.49, 1016.56, -95.78, 459, 8, 54.90, 20.50, 264, 0
27/1/2021, 9:12:19, 43.220779, -2.018628, 6, 210, 494, 20.49, 1016.56, -95.72, 463, 9, 54.70, 20.50, 247, 0
27/1/2021, 9:12:38, 43.220772, -2.018582, 5, 211, 507, 20.50, 1016.57, -95.83, 456, 8, 54.70, 20.50, 247, 0
27/1/2021, 9:12:57, 43.220795, -2.018580, 6, 212, 512, 20.49, 1016.54, -95.58, 459, 8, 54.70, 20.50, 247, 0
27/1/2021, 9:13:16, 43.220871, -2.018605, 6, 208, 533, 20.49, 1016.53, -95.45, 459, 8, 54.60, 20.50, 264, 0
27/1/2021, 9:13:35, 43.220924, -2.018821, 6, 205, 544, 20.49, 1016.53, -95.54, 463, 9, 54.40, 20.50, 255, 0
27/1/2021, 9:13:54, 43.220905, -2.018864, 6, 162, 556, 20.49, 1016.59, -95.96, 459, 8, 54.60, 20.50, 288, 0
27/1/2021, 9:14:13, 43.220905, -2.018967, 6, 162, 571, 20.49, 1016.56, -95.72, 463, 9, 54.40, 20.50, 304, 0
27/1/2021, 9:14:32, 43.220787, -2.019025, 6, 162, 585, 20.48, 1016.62, -96.23, 473, 11, 54.70, 20.50, 279, 0
27/1/2021, 9:14:51, 43.220688, -2.019078, 6, 162, 597, 20.48, 1016.54, -95.58, 459, 8, 54.80, 20.50, 295, 0
27/1/2021, 9:15:10, 43.220715, -2.018944, 6, 162, 610, 20.47, 1016.48, -95.12, 456, 8, 54.80, 20.50, 279, 0
27/1/2021, 9:15:29, 43.220840, -2.018704, 5, 220, 614, 20.46, 1016.50, -95.26, 456, 8, 54.50, 20.40, 279, 0
27/1/2021, 9:15:48, 43.220806, -2.018563, 5, 221, 639, 20.45, 1016.50, -95.21, 451, 7, 54.40, 20.50, 295, 0
27/1/2021, 9:16:7, 43.220749, -2.018500, 6, 162, 648, 20.46, 1016.53, -95.53, 492, 14, 54.50, 20.50, 312, 0
27/1/2021, 9:16:26, 43.220768, -2.018436, 7, 162, 661, 20.46, 1016.58, -95.94, 529, 19, 54.50, 20.50, 328, 0
27/1/2021, 9:16:45, 43.220821, -2.018428, 6, 162, 677, 20.46, 1016.60, -96.13, 529, 19, 54.90, 20.50, 328, 0
27/1/2021, 9:17:4, 43.220852, -2.018459, 7, 633, 692, 20.45, 1016.60, -96.12, 523, 18, 54.90, 20.50, 328, 0
27/1/2021, 9:17:23, 43.220806, -2.018503, 6, 186, 702, 20.46, 1016.58, -95.89, 497, 14, 54.80, 20.50, 328, 0
27/1/2021, 9:17:42, 43.220860, -2.018727, 7, 165, 714, 20.45, 1016.60, -96.10, 502, 15, 54.90, 20.50, 328, 0
27/1/2021, 9:18:1, 43.220764, -2.018882, 7, 126, 728, 20.44, 1016.60, -96.09, 546, 22, 54.70, 20.60, 368, 0
27/1/2021, 9:18:20, 43.220798, -2.018866, 6, 624, 729, 20.47, 1016.58, -95.90, 586, 28, 55.00, 20.50, 368, 0
27/1/2021, 9:18:39, 43.220898, -2.018963, 7, 130, 749, 20.48, 1016.57, -95.82, 540, 21, 55.20, 20.50, 385, 0
27/1/2021, 9:18:58, 43.220840, -2.018999, 7, 130, 770, 20.54, 1016.56, -95.75, 552, 23, 55.40, 20.50, 385, 0
27/1/2021, 9:19:17, 43.220806, -2.018979, 6, 132, 785, 20.52, 1016.52, -95.45, 552, 23, 55.10, 20.60, 401, 0
27/1/2021, 9:19:36, 43.220898, -2.018777, 5, 190, 799, 20.48, 1016.51, -95.37, 572, 26, 55.20, 20.60, 418, 0
27/1/2021, 9:19:55, 43.220909, -2.018776, 7, 133, 806, 20.52, 1016.56, -95.75, 572, 26, 55.40, 20.60, 425, 0
27/1/2021, 9:20:14, 43.220951, -2.018835, 7, 128, 818, 20.60, 1016.63, -96.35, 572, 26, 55.20, 20.60, 441, 0
27/1/2021, 9:20:33, 43.220879, -2.018817, 7, 128, 836, 20.62, 1016.63, -96.32, 566, 25, 55.50, 20.60, 449, 0
27/1/2021, 9:20:52, 43.220840, -2.018717, 7, 134, 850, 20.60, 1016.64, -96.44, 578, 27, 55.50, 20.70, 440, 0
27/1/2021, 9:21:11, 43.220871, -2.018719, 7, 134, 862, 20.63, 1016.67, -96.63, 578, 27, 55.50, 20.60, 456, 0
27/1/2021, 9:21:30, 43.220818, -2.018693, 6, 134, 878, 20.66, 1016.64, -96.45, 592, 29, 55.40, 20.60, 464, 0
27/1/2021, 9:21:49, 43.220741, -2.018707, 7, 164, 891, 20.66, 1016.67, -96.68, 578, 27, 55.50, 20.70, 480, 0
27/1/2021, 9:22:8, 43.220814, -2.018786, 7, 130, 900, 20.66, 1016.73, -97.16, 599, 30, 55.60, 20.70, 480, 0
27/1/2021, 9:22:27, 43.221031, -2.018809, 6, 135, 919, 20.64, 1016.76, -97.40, 592, 29, 55.70, 20.70, 497, 0
27/1/2021, 9:22:46, 43.221359, -2.018996, 6, 136, 39, 20.55, 1016.73, -97.20, 506, 16, 55.40, 20.70, 497, 0
27/1/2021, 9:23:5, 43.221481, -2.019126, 6, 136, 48, 20.55, 1016.75, -97.31, 529, 19, 56.70, 20.70, 497, 0
27/1/2021, 9:23:24, 43.221703, -2.019096, 5, 247, 60, 20.49, 1016.69, -96.83, 451, 7, 56.00, 20.70, 487, 0
27/1/2021, 9:23:43, 43.221851, -2.019015, 6, 137, 75, 20.48, 1016.68, -96.76, 476, 11, 56.50, 20.70, 497, 0
27/1/2021, 9:24:2, 43.221722, -2.019085, 6, 137, 86, 20.48, 1016.68, -96.73, 473, 11, 56.60, 20.70, 497, 0
27/1/2021, 9:24:21, 43.221519, -2.019102, 6, 137, 99, 20.48, 1016.66, -96.59, 433, 5, 56.60, 20.70, 487, 0
27/1/2021, 9:24:40, 43.221527, -2.019218, 7, 132, 113, 20.49, 1016.70, -96.89, 459, 8, 56.90, 20.70, 504, 0
27/1/2021, 9:24:59, 43.221554, -2.019110, 7, 184, 128, 20.51, 1016.71, -97.01, 442, 6, 56.60, 20.70, 487, 0
27/1/2021, 9:25:18, 43.221600, -2.019121, 6, 184, 142, 20.54, 1016.74, -97.21, 442, 6, 56.60, 20.70, 471, 0
27/1/2021, 9:25:37, 43.221424, -2.019142, 6, 256, 52, 20.55, 1016.63, -96.33, 456, 8, 56.40, 20.70, 487, 0
27/1/2021, 9:25:56, 43.221176, -2.019106, 6, 139, 63, 20.53, 1016.61, -96.15, 451, 7, 56.50, 20.70, 487, 0
27/1/2021, 9:26:15, 43.221104, -2.019062, 6, 140, 65, 20.56, 1016.65, -96.46, 436, 5, 56.60, 20.70, 504, 0
27/1/2021, 9:26:34, 43.220913, -2.019002, 7, 140, 74, 20.58, 1016.67, -96.68, 459, 8, 56.30, 20.70, 520, 0
27/1/2021, 9:26:53, 43.221207, -2.019196, 6, 140, 98, 20.59, 1016.68, -96.77, 447, 7, 56.50, 20.80, 511, 0
27/1/2021, 9:27:12, 43.221378, -2.019179, 6, 141, 114, 20.59, 1016.70, -96.95, 456, 8, 56.40, 20.80, 528, 0
27/1/2021, 9:27:31, 43.221046, -2.019025, 6, 189, 126, 20.61, 1016.77, -97.48, 456, 8, 56.30, 20.80, 561, 0
27/1/2021, 9:27:50, 43.220600, -2.018807, 6, 142, 141, 20.58, 1016.71, -97.02, 488, 13, 56.20, 20.80, 577, 0
27/1/2021, 9:28:9, 43.220463, -2.018799, 6, 142, 148, 20.59, 1016.72, -97.06, 496, 14, 56.50, 20.80, 537, 0
27/1/2021, 9:28:28, 43.220253, -2.018755, 7, 142, 162, 20.59, 1016.75, -97.30, 483, 12, 56.40, 20.80, 513, 0
27/1/2021, 9:28:47, 43.220207, -2.018746, 6, 143, 178, 20.63, 1016.71, -97.10, 480, 12, 56.20, 20.80, 489, 0
27/1/2021, 9:29:6, 43.220345, -2.018675, 6, 143, 189, 20.65, 1016.73, -97.14, 475, 11, 56.40, 20.80, 456, 0
